group_id,col_1,col_2,weight_type,items_list
801,,个人模拟测试,2,"[[8,8001,1,1,10],[8,8002,1,1,10],[8,8003,1,1,10],[8,8004,1,1,10],[8,8005,1,1,10],[8,8006,1,1,10],[8,8007,1,1,10],[8,8008,1,1,10],[8,8009,1,1,10],[8,8010,1,1,10],[8,8011,1,1,10],[8,8012,1,1,10],[8,8013,1,1,10],[8,8014,1,1,10],[8,8015,1,1,10],[8,8016,1,1,10],[8,8017,1,1,10],[8,8018,1,1,10],[8,8019,1,1,10],[8,8020,1,1,10],[8,8021,1,1,10],[8,8022,1,1,10],[8,8023,1,1,10],[8,8024,1,1,10],[8,8025,1,1,10],[8,8026,1,1,10],[8,8027,1,1,10],[8,8028,1,1,10],[8,8029,1,1,10],[8,8030,1,1,10],[8,8031,1,1,10],[8,8032,1,1,10],[8,8033,1,1,10],[8,8034,1,1,10],[8,8035,1,1,10],[8,8036,1,1,10],[8,8037,1,1,10],[8,8038,1,1,10],[8,8039,1,1,10],[8,8040,1,1,10],[8,8041,1,1,10],[8,8042,1,1,10],[8,8043,1,1,10],[8,8044,1,1,10],[8,8046,1,1,10],[8,8047,1,1,10],[8,8051,1,1,10],[8,8052,1,1,10],[8,8053,1,1,10],[8,8054,1,1,10],[8,8055,1,1,10],[8,8056,1,1,10],[8,8057,1,1,10],[8,8058,1,1,10],[8,8059,1,1,10],[8,8060,1,1,10],[8,8061,1,1,10],[8,8062,1,1,10],[8,8063,1,1,10],[8,8064,1,1,10],[8,8065,1,1,10],[8,8066,1,1,10],[8,8067,1,1,10],[8,8068,1,1,10]]"
1000,,皮肤测试礼盒,1,"[[14,1410101,1,1,10000],[14,1410201,1,1,10000],[14,1410301,1,1,10000],[14,1410401,1,1,10000],[14,1410501,1,1,10000],[14,1410601,1,1,10000],[14,1410701,1,1,10000],[14,1410801,1,1,10000],[14,1410901,1,1,10000],[14,1411001,1,1,10000],[14,1420101,1,1,10000],[14,1420201,1,1,10000],[14,1420301,1,1,10000],[14,1420401,1,1,10000],[14,1420501,1,1,10000],[14,1420601,1,1,10000],[14,1420701,1,1,10000],[14,1420801,1,1,10000],[14,1420901,1,1,10000],[14,1430101,1,1,10000]]"
1001,,头像测试礼盒,1,"[[12,120001,1,1,10000],[12,120002,1,1,10000],[12,120003,1,1,10000],[12,120004,1,1,10000],[12,120005,1,1,10000],[12,120006,1,1,10000],[12,120007,1,1,10000],[12,120008,1,1,10000],[12,120009,1,1,10000],[12,120010,1,1,10000],[12,120011,1,1,10000],[12,120012,1,1,10000],[12,120013,1,1,10000],[12,120014,1,1,10000],[12,120015,1,1,10000],[12,120016,1,1,10000],[12,120017,1,1,10000],[12,120018,1,1,10000],[12,120019,1,1,10000],[12,120020,1,1,10000],[12,120021,1,1,10000]]"
1002,,收藏箱礼盒,1,"[[7,1003,1,1,10000],[7,1013,1,1,10000],[7,1023,1,1,10000],[7,1033,1,1,10000],[7,1043,1,1,10000],[7,1053,1,1,10000],[7,1063,1,1,10000],[7,1073,1,1,10000],[7,1083,1,1,10000],[7,1093,1,1,10000],[7,1103,1,1,10000]]"
1003,,角色测试礼盒,1,"[[15,150101,1,1,10000],[15,150102,1,1,10000],[15,150103,1,1,10000],[15,150104,1,1,10000],[15,150105,1,1,10000],[15,150106,1,1,10000],[15,150107,1,1,10000],[15,150108,1,1,10000],[15,150109,1,1,10000],[15,150110,1,1,10000],[15,150201,1,1,10000],[15,150202,1,1,10000],[15,150203,1,1,10000],[15,150204,1,1,10000],[15,150205,1,1,10000],[15,150206,1,1,10000],[15,150207,1,1,10000],[15,150208,1,1,10000],[15,150209,1,1,10000],[15,150301,1,1,10000]]"
1011,家具物品品质1,家具物品品质1,2,"[[101,1101006,1,1,844],[101,1031010,1,1,831],[101,1071002,1,1,842],[101,1031001,1,1,802],[101,1051010,1,1,805],[101,1071005,1,1,522],[101,1061005,1,1,747],[101,1071004,1,1,712],[101,1101007,1,1,744],[101,1021002,1,1,716],[101,1031004,1,1,694],[101,1051002,1,1,463],[101,1061007,1,1,647],[101,1011001,1,1,656],[101,1071009,1,1,625],[101,1021003,1,1,617],[101,1011003,1,1,1094],[101,1041008,1,1,557],[101,1011002,1,1,523],[101,1011005,1,1,497],[101,1081009,1,1,510],[101,1011006,1,1,991],[101,1041009,1,1,466],[101,1101005,1,1,440],[101,1021008,1,1,313],[101,1061001,1,1,905],[101,1101008,1,1,398],[101,1051009,1,1,359],[101,1041004,1,1,276],[101,1041010,1,1,246],[101,1101003,1,1,320],[101,1071010,1,1,296],[101,1101002,1,1,300],[101,1041002,1,1,233],[101,1061002,1,1,471],[101,1101004,1,1,436],[101,1031006,1,1,411],[101,1041003,1,1,338],[101,1011009,1,1,642],[101,1061003,1,1,331],[101,1081005,1,1,282],[101,1081004,1,1,309],[101,1031005,1,1,260],[101,1061010,1,1,169],[101,1061004,1,1,252],[101,1061009,1,1,247],[101,1011007,1,1,204],[101,1041007,1,1,212],[101,1011008,1,1,168],[101,1011010,1,1,224],[101,1041005,1,1,346],[101,1011004,1,1,326]]"
1012,家具物品品质2,家具物品品质2,2,"[[101,1062007,1,1,382],[101,1032010,1,1,347],[101,1022006,1,1,331],[101,1032002,1,1,355],[101,1042010,1,1,339],[101,1032003,1,1,310],[101,1072008,1,1,237],[101,1012001,1,1,230],[101,1072006,1,1,222],[101,1012009,1,1,164],[101,1012003,1,1,127],[101,1072007,1,1,118],[101,1012010,1,1,94],[101,1012008,1,1,91],[101,1042005,1,1,115],[101,1012006,1,1,116],[101,1032005,1,1,140],[101,1022001,1,1,130],[101,1042006,1,1,118],[101,1032007,1,1,108],[101,1062009,1,1,71],[101,1082010,1,1,59],[101,1082009,1,1,85],[101,1012002,1,1,153],[101,1042004,1,1,80],[101,1062002,1,1,76],[101,1072002,1,1,72],[101,1042009,1,1,69],[101,1072005,1,1,71],[101,1022005,1,1,67],[101,1082007,1,1,67],[101,1012005,1,1,134],[101,1012004,1,1,134],[101,1032008,1,1,82],[101,1082001,1,1,41],[101,1012007,1,1,82],[101,1082011,1,1,13]]"
1013,家具物品品质3,家具物品品质3,2,"[[101,1013007,1,1,581],[101,1073009,1,1,830],[101,1063005,1,1,535],[101,1043010,1,1,732],[101,1013002,1,1,703],[101,1033006,1,1,582],[101,1013004,1,1,557],[101,1053006,1,1,98],[101,1033008,1,1,597],[101,1033009,1,1,629],[101,1013006,1,1,271],[101,1013008,1,1,214],[101,1013003,1,1,467],[101,1063003,1,1,325],[101,1013010,1,1,345],[101,1083001,1,1,107],[101,1033001,1,1,459],[101,1063010,1,1,425],[101,1043001,1,1,402],[101,1013005,1,1,566],[101,1023010,1,1,275],[101,1013001,1,1,247],[101,1063006,1,1,253],[101,1083003,1,1,166],[101,1033003,1,1,265],[101,1083010,1,1,163],[101,1063009,1,1,166],[101,1013009,1,1,528],[101,1043005,1,1,309],[101,1083006,1,1,230],[101,1053001,1,1,166],[101,1073006,1,1,133],[101,1063011,1,1,72],[101,1083011,1,1,70],[101,1103005,1,1,113]]"
1014,家具物品品质4,家具物品品质4,2,"[[101,1074003,1,1,398],[101,1014008,1,1,405],[101,1034005,1,1,373],[101,1084008,1,1,261],[101,1074001,1,1,164],[101,1014002,1,1,275],[101,1014005,1,1,144],[101,1014004,1,1,150],[101,1044008,1,1,90],[101,1034002,1,1,227],[101,1014007,1,1,86],[101,1014003,1,1,118],[101,1044010,1,1,112],[101,1014001,1,1,109],[101,1064003,1,1,105],[101,1064001,1,1,100],[101,1024007,1,1,47],[101,1014010,1,1,91],[101,1014009,1,1,77],[101,1014006,1,1,108],[101,1084004,1,1,99],[101,1074007,1,1,66],[101,1034008,1,1,132]]"
1015,家具物品品质5,家具物品品质5,2,"[[101,1075002,1,1,1277],[101,1085010,1,1,938],[101,1035003,1,1,522],[101,1015008,1,1,620],[101,1015009,1,1,328],[101,1015003,1,1,335],[101,1015010,1,1,377],[101,1015001,1,1,405],[101,1035007,1,1,258],[101,1045007,1,1,262],[101,1035006,1,1,175],[101,1015006,1,1,145],[101,1015007,1,1,405],[101,1015002,1,1,107],[101,1015004,1,1,293],[101,1015005,1,1,197],[101,1065006,1,1,198],[101,1085008,1,1,84],[101,1065010,1,1,115],[101,1065011,1,1,93],[101,1085009,1,1,89]]"
