id,col_1,col_2,item_name,item_nm,item_desc,item_type_id,slot_type,item_quality,base_value,in_case,is_tradable,binds_on_purchase,is_auction,auction_baseprice,grid_count,transaction_tax_rate,max_stack_size,max_per_listing,collectible_item_type_id,skills,specified_obtain,drop_group_id,show_item,icon_path,icon_atlas,collection,rank7count,item_access,collection_coin,number,number_weight,cost,model_3D,is_show,exchangeId,is_sale,room_price
1,银币,普通货币,itemName_1,itemName_1,itemDesc_1,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_1,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
2,金币,高级货币，仅充值可得,itemName_2,itemName_2,itemDesc_2,[1],0,6,1000,0,1,0,0,"[10,5]",0,"[[999999,10]]",1,0,[0],[0],[[0]],0,[0],icon_2,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
3,金币,废弃货币,itemName_3,itemName_3,itemDesc_3,[1],0,6,1000,0,1,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_2,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
4,通行证经验,通行证经验,itemName_4,itemName_4,itemDesc_4,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_3,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
5,收藏值,收藏值,itemName_5,itemName_5,itemDesc_5,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_3,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6,模拟币,模拟币,itemName_6,itemName_6,itemDesc_6,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_3,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
7,改名卡,改名卡,itemName_7,itemName_7,itemDesc_7,[16],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_4,iconitem1,0,0,[1003],0,[0],[0],[0],Cube,1,[0],0,
8,博物馆地契,博物馆地契,itemName_8,itemName_8,itemDesc_8,[2],0,0,0,0,0,0,0,"[10,5]",0,[[0]],5,0,[0],[0],[[0]],0,[0],icon_8,iconitem1,0,0,[1003],0,[0],[0],[0],Cube,1,[0],0,
9,区域协会积分,区域协会积分,itemName_9,itemName_9,itemName_9,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_9,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
10,协会积分,协会积分,itemName_10,itemName_10,itemName_10,[1],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_10,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
101,竞拍票,竞拍票,itemName_101,itemName_101,itemDesc_101,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_101,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502001],1,
102,指定快递竞拍票,指定快递竞拍票,itemName_102,itemName_102,itemDesc_102,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_102,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502002],1,
103,指定仓库竞拍票,指定仓库竞拍票,itemName_103,itemName_103,itemDesc_103,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_103,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502003],1,
104,指定集装箱竞拍票,指定集装箱竞拍票,itemName_104,itemName_104,itemDesc_104,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_104,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502004],1,
105,指定别墅拍票,指定别墅拍票,itemName_105,itemName_105,itemDesc_105,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_105,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502005],1,
106,指定沉船竞拍票,指定沉船竞拍票,itemName_106,itemName_106,itemDesc_106,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_106,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[502006],1,
107,指定竞拍票,指定竞拍票,itemName_107,itemName_107,itemDesc_107,[2],11,0,1,0,0,0,0,"[10,5]",0,[[0]],20,0,[0],[0],[[0]],0,[0],icon_106,iconitem1,0,0,"[1003,1004]",0,[0],[0],[0],Cube,1,[],1,
301,高级通行证,高级通行证,itemName_301,itemName_301,itemDesc_301,[3],0,0,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],[[0]],0,[0],icon_301,iconitem1,0,0,[1003],0,[0],[0],[0],Cube,1,[0],0,
1000,主仓库,主仓库,itemName_1000,itemName_1000,itemDesc_1000,[7],0,0,0,0,0,0,0,"[10,5]",100,[[0]],1,0,[0],[0],[[0]],0,[0],icon_1000,iconitem1,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
1001,小型万用物品箱,小型万用物品箱,itemName_1001,itemName_1001,itemDesc_1001,[7],22,4,10000,0,0,0,0,"[10,5]",5,[[0]],1,0,"[11,100,101,102,103,104,105,106,107,108,109,110]",[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503001],1,
1002,中型万用物品箱,中型万用物品箱,itemName_1002,itemName_1002,itemDesc_1002,[7],22,5,50000,0,0,0,0,"[10,5]",10,[[0]],1,0,"[11,100,101,102,103,104,105,106,107,108,109,110]",[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503002],1,
1003,典藏消耗道具箱,典藏消耗道具箱,itemName_1003,itemName_1003,itemDesc_1003,[7],22,6,200000,0,0,0,0,"[10,5]",15,[[0]],1,0,"[11,100,101,102,103,104,105,106,107,108,109,110]",[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503003],1,
1011,小型家具物品箱,小型家具物品箱,itemName_1011,itemName_1011,itemDesc_1011,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[101],[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503004],1,
1012,中型家具物品箱,中型家具物品箱,itemName_1012,itemName_1012,itemDesc_1012,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[101],[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503005],1,
1013,典藏家具物品箱,典藏家具物品箱,itemName_1013,itemName_1013,itemDesc_1013,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[101],[0],[[0]],0,[0],icon_bx_01,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503006],1,
