item_id,name,shape,quality,家居,医疗,时尚,武器,珠宝,文玩,数码,交通,饮食,书籍,base_value,grid_size,
1106006,《亚威农少女》,33,6,,,,,,文玩,,,,书籍,282240,"[10,5]",
1106007,《凯尔经》,22,6,,,,,,文玩,,,,书籍,175500,"[10,5]",
1106008,《天工开物》,22,6,,,,,,文玩,,,,书籍,148840,"[10,5]",
1106011,《富春山居图》,31,6,,,,,,文玩,,,,书籍,1236666,"[10,5]",
1106002,《岩间圣母》,23,6,,,,,,文玩,,,,书籍,120600,"[10,5]",
1104003,《心经》高僧手抄卷,41,4,,,,,,文玩,,,,书籍,7472,"[10,5]",
1106003,《戴珍珠耳环的少女》,22,6,,,,,,文玩,,,,书籍,160200,"[10,5]",
1105001,《敦煌遗书》唐代写经卷仿制卷,22,5,,,,,,文玩,,,,书籍,35200,"[10,5]",
1106005,《星空》,32,6,,,,,,文玩,,,,书籍,170200,"[10,5]",
1104010,《淳化阁帖》宋拓本仿制册页,22,4,,,,,,文玩,,,,书籍,14112,"[10,5]",
1106004,《自由引导人民》,32,6,,,,,,文玩,,,,书籍,191800,"[10,5]",
1106012,《般若神掌》,22,6,,,,武器,,文玩,,,,书籍,284519,"[10,5]",
1105002,《营造法式》彩画作制度图样精仿本,21,5,,,,,,文玩,,,,书籍,37920,"[10,5]",
1105003,《黄庭经》卷仿本,12,5,,,,,,文玩,,,,书籍,55440,"[10,5]",
1011003,0.38MM中性笔,11,1,家居,,,,,,,,,,179,"[10,5]",
1085009,单人郊游快艇,63,5,家居,,,,,,,交通,,,106500,"[10,5]",
1071008,3D观影镜,21,1,,,,,,,数码,,,,360,"[10,5]",
1054011,1克拉钻石,11,4,,,时尚,,珠宝,,,,,,13000,"[10,5]",
1061010,窗花剪纸,22,1,家居,,,,,文玩,,,,书籍,377,"[10,5]",
1041006,556子弹,11,1,,,,武器,,,,,,,138,"[10,5]",
1034005,8848烫金手机壳,11,4,家居,,时尚,,,,,,,,2560,"[10,5]",
1101008,A4印刷用纸,12,1,家居,,,,,,,,,书籍,257,"[10,5]",
1076004,AI服务器,23,6,,,,,,,数码,,,,470400,"[10,5]",
1044003,AWM狙击步枪,51,4,,,,武器,,,,,,,16310,"[10,5]",
1013007,BB机,11,3,家居,,,,,文玩,数码,,,,1175,"[10,5]",
1042003,127子弹,11,2,,,,武器,,,,,,,367,"[10,5]",
1076005,GPU计算柜,35,6,,,,,,,数码,,,,375000,"[10,5]",
1012003,HDIM高清线,11,2,家居,,,,,,数码,,,,755,"[10,5]",
1033003,JK制服,23,3,家居,,时尚,,,,,,,,3875,"[10,5]",
1044001,M249轻机枪,42,4,,,,武器,,,,,,,12584,"[10,5]",
